Group,color,dots,Date Day 0,Generation,Name,PG_avg,Biol_Reps,Day_N,Set,GI_R1,PG_DayN_R1,PG_DayNStD_R1,GI_R2,PG_D5_R2,PG_D5StD_R2,GI_R3,PG_D5_R3,PG_D5StD_R3,Total Seed,AR,ABA,Stdev btwn biol reps,Primer6,P20,P34,MKK3,P29
ERA8,P,L,-,BC3F3,ERA8.1,26.66666667,1,4,Random100,0.193333333,26.66666667,20.81665999,-,-,-,-,-,-,30,42d,10uM,-,B,B,B,B,B
ERA8,P,L,-,BC3F3,ERA8.10,3.333333333,1,4,Random100,0.066666667,3.333333333,5.773502692,-,-,-,-,-,-,30,42d,10uM,-,B,B,B,B,B
ERA8,P,L,7.20.2017,BC3F3,ERA8.11,17.03703704,1,4,Remaining 5.1,0.163703704,17.03703704,11.23999326,-,-,-,-,-,-,29,59d,10uM,-,B,B,B,B,B
ERA8,P,L,7.20.2017,BC3F3,ERA8.14,3.333333333,1,4,Remaining 5.1,0.106666667,3.333333333,5.773502692,-,-,-,-,-,-,30,59d,10uM,-,B,B,B,B,B
ERA8,P,L,7.20.2017,BC3F3,ERA8.8,10,1,4,Remaining 5.1,0.153333333,10,10,-,-,-,-,-,-,30,59d,10uM,-,B,B,B,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.2,36.66666667,2,5,1-300 5.2 set 1,0.14,43.33333333,5.773502692,0.126666667,30,26.45751311,-,-,-,-,-,2,9.428090416,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.4,23.33333333,2,5,1-300 5.2 set 1,0.133333333,26.66666667,5.773502692,0.093333333,20,17.32050808,-,-,-,-,-,2,4.714045208,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.40,11.66666667,2,5,1-300 5.2 set 1,0.06,16.66666667,5.773502692,0.02,6.666666667,5.773502692,-,-,-,-,-,2,7.071067812,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.48,8.333333333,2,5,1-300 5.2 set 1,0.053333333,16.66666667,15.27525232,0,0,0,-,-,-,-,-,2,11.78511302,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.73,63.33333333,2,5,1-300 5.2 set 1,0.24,63.33333333,15.27525232,0.266666667,63.33333333,30.55050463,-,-,-,-,-,2,0,B,B,H/B,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.112,33.33333333,2,5,1-300 5.2 set 2,0.073333333,16.66666667,11.54700538,0.193333333,50,10,-,-,-,-,-,2,23.57022604,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.113,10,2,5,1-300 5.2 set 2,0.013333333,3.333333333,5.773502692,0.033333333,16.66666667,15.27525232,-,-,-,-,-,2,9.428090416,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.115,25,2,5,1-300 5.2 set 2,0.093333333,20,10,0.113333333,30,10,-,-,-,-,-,2,7.071067812,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.123,35,2,5,1-300 5.2 set 2,0.14,36.66666667,15.27525232,0.16,33.33333333,15.27525232,-,-,-,-,-,2,2.357022604,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.145,41.66666667,2,5,1-300 5.2 set 2,0.22,46.66666667,5.773502692,0.16,36.66666667,11.54700538,-,-,-,-,-,2,7.071067812,B,B,-,B,B
ERA8-g,P,L,2.02.2015,BC3F3,5.2.147,33.33333333,2,5,1-300 5.2 set 2,0.126666667,26.66666667,5.773502692,0.18,40,17.32050808,-,-,-,-,-,2,9.428090416,B,B,-,B,B
